ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
2.0.0-dev,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
2.0.0-dev,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
2.0.0-dev,true,base,message,text,core,,Hello World,Log message optimized for viewing in a log viewer.
2.0.0-dev,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
2.0.0-dev,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
2.0.0-dev,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
2.0.0-dev,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
2.0.0-dev,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
2.0.0-dev,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
2.0.0-dev,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
2.0.0-dev,true,ecs,ecs.version,keyword,core,,1.0.0,ECS version this event conforms to.
2.0.0-dev,true,event,event.action,keyword,core,,user-password-change,The action captured by the event.
2.0.0-dev,true,event,event.agent_id_status,keyword,extended,,verified,Validation status of the event's agent.id field.
2.0.0-dev,true,event,event.category,keyword,core,array,authentication,Event category. The second categorization field in the hierarchy.
2.0.0-dev,true,event,event.code,keyword,extended,,4648,Identification code for this event.
2.0.0-dev,true,event,event.created,date,core,,2016-05-23T08:05:34.857Z,Time when the event was first read by an agent or by your pipeline.
2.0.0-dev,true,event,event.dataset,keyword,core,,apache.access,Name of the dataset.
2.0.0-dev,true,event,event.duration,long,core,,,Duration of the event in nanoseconds.
2.0.0-dev,true,event,event.end,date,extended,,,event.end contains the date when the event ended or when the activity was last observed.
2.0.0-dev,true,event,event.hash,keyword,extended,,123456789012345678901234567890ABCD,Hash (perhaps logstash fingerprint) of raw field to be able to demonstrate log integrity.
2.0.0-dev,true,event,event.id,keyword,core,,8a4f500d,Unique ID to describe the event.
2.0.0-dev,true,event,event.ingested,date,core,,2016-05-23T08:05:35.101Z,Timestamp when an event arrived in the central data store.
2.0.0-dev,true,event,event.kind,keyword,core,,alert,The kind of the event. The highest categorization field in the hierarchy.
2.0.0-dev,true,event,event.module,keyword,core,,apache,Name of the module this data is coming from.
2.0.0-dev,false,event,event.original,keyword,core,,Sep 19 08:26:10 host CEF:0&#124;Security&#124; threatmanager&#124;1.0&#124;100&#124; worm successfully stopped&#124;10&#124;src=10.0.0.1 dst=2.1.2.2spt=1232,Raw text message of entire event.
2.0.0-dev,true,event,event.outcome,keyword,core,,success,The outcome of the event. The lowest level categorization field in the hierarchy.
2.0.0-dev,true,event,event.provider,keyword,extended,,kernel,Source of the event.
2.0.0-dev,true,event,event.reason,keyword,extended,,Terminated an unexpected process,"Reason why this event happened, according to the source"
2.0.0-dev,true,event,event.reference,keyword,extended,,https://system.example.com/event/#0001234,Event reference URL
2.0.0-dev,true,event,event.risk_score,float,core,,,Risk score or priority of the event (e.g. security solutions). Use your system's original value here.
2.0.0-dev,true,event,event.risk_score_norm,float,extended,,,Normalized risk score or priority of the event (0-100).
2.0.0-dev,true,event,event.sequence,long,extended,,,Sequence number of the event.
2.0.0-dev,true,event,event.severity,long,core,,7,Numeric severity of the event.
2.0.0-dev,true,event,event.start,date,extended,,,event.start contains the date when the event started or when the activity was first observed.
2.0.0-dev,true,event,event.timezone,keyword,extended,,,Event time zone.
2.0.0-dev,true,event,event.type,keyword,core,array,,Event type. The third categorization field in the hierarchy.
2.0.0-dev,true,event,event.url,keyword,extended,,https://mysystem.example.com/alert/5271dedb-f5b0-4218-87f0-4ac4870a38fe,Event investigation URL
2.0.0-dev,true,foo,foo.code,keyword,custom,,,code
2.0.0-dev,true,foo,foo.flattened,group,custom,,,flattened
2.0.0-dev,true,http,http.request.body.bytes,long,extended,,887,Size in bytes of the request body.
2.0.0-dev,true,http,http.request.body.content,keyword,extended,,Hello world,The full HTTP request body.
2.0.0-dev,true,http,http.request.body.content.text,text,extended,,Hello world,The full HTTP request body.
2.0.0-dev,true,http,http.request.bytes,long,extended,,1437,Total size in bytes of the request (body and headers).
2.0.0-dev,true,http,http.request.id,keyword,extended,,123e4567-e89b-12d3-a456-426614174000,HTTP request ID.
2.0.0-dev,true,http,http.request.method,keyword,extended,,POST,HTTP request method.
2.0.0-dev,true,http,http.request.mime_type,keyword,extended,,image/gif,Mime type of the body of the request.
2.0.0-dev,true,http,http.request.referrer,keyword,extended,,https://blog.example.com/,Referrer for this HTTP request.
2.0.0-dev,true,http,http.response.body.bytes,long,extended,,887,Size in bytes of the response body.
2.0.0-dev,true,http,http.response.body.content,keyword,extended,,Hello world,The full HTTP response body.
2.0.0-dev,true,http,http.response.body.content.text,text,extended,,Hello world,The full HTTP response body.
2.0.0-dev,true,http,http.response.bytes,long,extended,,1437,Total size in bytes of the response (body and headers).
2.0.0-dev,true,http,http.response.mime_type,keyword,extended,,image/gif,Mime type of the body of the response.
2.0.0-dev,true,http,http.response.status_code,long,extended,,404,HTTP response status code.
2.0.0-dev,true,http,http.version,keyword,extended,,1.1,HTTP version.
2.0.0-dev,true,network,network.application,keyword,extended,,aim,Application level protocol name.
2.0.0-dev,true,network,network.bytes,long,core,,368,Total bytes transferred in both directions.
2.0.0-dev,true,network,network.community_id,keyword,extended,,1:hO+sN4H+MG5MY/8hIrXPqc4ZQz0=,A hash of source and destination IPs and ports.
2.0.0-dev,true,network,network.direction,keyword,core,,inbound,Direction of the network traffic.
2.0.0-dev,true,network,network.forwarded_ip,ip,core,,192.1.1.2,Host IP address when the source IP address is the proxy.
2.0.0-dev,true,network,network.iana_number,keyword,extended,,6,IANA Protocol Number.
2.0.0-dev,true,network,network.inner,object,extended,,,Inner VLAN tag information
2.0.0-dev,true,network,network.inner.vlan.id,keyword,extended,,10,VLAN ID as reported by the observer.
2.0.0-dev,true,network,network.inner.vlan.name,keyword,extended,,outside,Optional VLAN name as reported by the observer.
2.0.0-dev,true,network,network.name,keyword,extended,,Guest Wifi,Name given by operators to sections of their network.
2.0.0-dev,true,network,network.packets,long,core,,24,Total packets transferred in both directions.
2.0.0-dev,true,network,network.protocol,keyword,core,,http,L7 Network protocol name.
2.0.0-dev,true,network,network.transport,keyword,core,,tcp,Protocol Name corresponding to the field `iana_number`.
2.0.0-dev,true,network,network.type,keyword,core,,ipv4,"In the OSI Model this would be the Network Layer. ipv4, ipv6, ipsec, pim, etc"
2.0.0-dev,true,network,network.vlan.id,keyword,extended,,10,VLAN ID as reported by the observer.
2.0.0-dev,true,network,network.vlan.name,keyword,extended,,outside,Optional VLAN name as reported by the observer.
2.0.0-dev,true,related,related.ip,ip,extended,array,,All of the IPs seen on your event.
2.0.0-dev,true,related,related.user,keyword,extended,array,,All the user names or other user identifiers seen on the event.
